RestaurantID,Cuisine,Rating,NumberOfReview
"rEbwps11tIERRkwQrIXQog","Chinese",3.5,734
"R3UNnA8EbjhNWBHS0wJ0VA","Szechuan",3.5,219
"WRRs3smfm6rHP5k4Slzr3w","Chinese",3,128
"IBMaz2RZPkU1Ng9b8A6ywg","Chinese",3.5,37
"DPOWubhvyzYGjLbVvbr_sg","Vegetarian",4.5,122
"a2sxaQooPmq9r7Cc_Umunw","Chinese",3.5,227
"xi_QX5uArqDM4LeL4WIv1Q","Chinese",4,16
"flmNwrxQfYNvWp7__fZyDg","Chinese",3.5,56
"vLPC4i4StmkyKLe2LrQX_A","Chinese",4,4
"l1nX_f46dmOEmYPoiuLSaw","Chinese",3.5,348
"XaEFFUabnbH8ZF7ccmSAlQ","Chinese",2.5,47
"HM6cvh5A9LLBeb4Sca6fPA","Chinese",3,61
"OSqcNi7EZLAMtuiQjuoiLg","Chinese",3.5,17
"E2qpRYXvqPWklaSOvdnO4A","Chinese",3.5,15
"qR6vC_y7o_ts_s_dqg4h1w","Chinese",3.5,6
"5tWpAFpF618KJxBhHJzF7g","Hong Kong Style Cafe",4.5,18
"EXtAG3Yi3vfRHA0XWyKlyA","Chinese",4,78
"ovOupYdkZOWUeDMOdt__ng","Chinese",4,260
"xkYzEUPO6sR8bq5vWZSlpQ","Chinese",3,25
"7rTl_d_dqlK5dGG31ogSBg","Indian",4,271
"31fcTAZjm1MG7abejOiI_Q","Fast Food",4.5,3
"z6HMM_cSraJFkQFvSjWGDA","Chinese",4,17
"_MdNLeBAcwv5Nb2yArZFvg","Chinese",3.5,62
"ynIx549QFj29o84y1RSGyw","Cafes",4,353
"v2dtG37r1ThqtfEfiFsAUg","Korean",3,428
"HICimyBWKDwrXLnBuDZOZw","Chinese",4.5,7
"akWRnF0VFJLJD4uOnGWB_g","Chinese",4,17
"ECKMWJwm_sihRQIP1ydeOA","Chinese",3,32
"_lDxXHNUNrwWUFnvnL_WSQ","Chinese",3.5,25
"PphgRM2pDtbAB6pBsU6r3Q","Chinese",4,3
"vbL4Ef8zf4dmdR9Gyl5lkw","Taiwanese",3.5,279
"Nt3Y26a6OMtdBe8xMMJjqQ","Noodles",3.5,255
"euYzPWTvH9w9KC4wzhzGkQ","Chinese",4,27
"UyBbMNIM7zA3fh6lEnLiZQ","Chinese",3.5,23
"L6fT2SWSRlwBEc3jWqV2Ig","Chinese",3.5,10
"6kCo3xb87Sc3Aa5ZSWzNnw","Ramen",3,189
"QWskQ2QpR8bmza2FRFziOQ","Asian Fusion",3.5,59
"YoGcGxo9JxE7NtmMtPaNng","Chinese",3,34
"uPqLa_H1tr3QTwJNPoVqYQ","Chinese",3.5,23
"uP0zrPN8vCMxTe1jnsKsZQ","Chinese",3.5,38
"YJqM9wxCH_PNslHbffzbGg","Chinese",3,38
"TDXFB6lBsA_uvFdnPxBv9g","Chinese",4,15
"efjo5qvboOWbiMnNHnLhzA","Chinese",5,4
"EGnh2TcsbpH_Fbe8svXzsQ","Szechuan",4,415
"yv9RbEsbXLhW7bv4ghBl3w","Chinese",4,256
"6OWMji5GiqRlRPZSb1lJ4A","Bakeries",4,186
"B7bxdtvLYR7Nmex4AIFd4w","Dim Sum",3.5,504
"rJeh77RIvtmISisvVoy6TA","Chinese",3,107
"L37A2JWXfwR_PgKColA8xA","Chinese",3.5,1248
"vPbJRg5umcRMELTDsJik_A","Chinese",3.5,30
"EM6z_NkZ_q2KPWNY7aKvNw","Chinese",4,14
"EYpS39ad_GfC5l2F7PwZig","Asian Fusion",4,128
"ePVlFbTzdVQFWie__kdplg","Chinese",3.5,341
"K6JvBpyRN3JguAoRkiIhiQ","Chinese",4,11
"lZy5TNhzgG53zEjK1N1w1w","Chinese",2.5,48
"nXh79laNQ7leN92F5Ore_Q","Chinese",4,28
"g_5V15Xp1OvB1QXuGMstYA","Chinese",3,481
"6nvauDS1LzXU1CVweD8lKQ","Chinese",4.5,5
"MEaT9f2B4F0gvXhCir9v4w","Chinese",3.5,21
"Ro2uUG4FmvbHmPWBbj0QWQ","Chinese",3,18
"AQqUiXi0hn1xu5qVfM54IQ","Bubble Tea",4.5,167
"3fBiB3slTfBpmf39vD7sJw","Chinese",3.5,58
"b7uTP_afs5Gkf66K7yDl_w","Chinese",4.5,10
"h3yz3w8ke1jIaGnqGln93A","Chinese",3,34
"dBpttLTwkOT3HtFZ_u9vgQ","Chinese",3.5,19
"NZb6ILmE0p4gQ5harzrAvA","Chinese",3,328
"EAqXEChadTFNm2flg_Y6IQ","Noodles",4,11
"_6KT1D508e6zvqHJvv4r2Q","Chinese",4,8
"a_Bq_yXFVk2PptoWpmry3w","Thai",4.5,580
"02wYNDGNJpxv_oIQpT0oRA","Chinese",4.5,18
"tguMh2GgOcU9fu6WN3dqpw","Chinese",4,820
"heM6XLWvfYuivaf2IjBMFQ","Chinese",4,110
